timestamp,value,is_anomaly
0,0.21999509,0
1,0.21789643,0
2,0.230531,0
3,0.23602592,0
4,0.22818872,0
5,0.23479605,0
6,0.22083526,0
7,0.22486428,0
8,0.21773774,0
9,0.21942427,0
10,0.22692562,0
11,0.2238511,0
12,0.22219362,0
13,0.21646134,0
14,0.20442731,0
15,0.1804239,0
16,0.15909841,0
17,0.15779446,0
18,0.1685656,0
19,0.21873794,0
20,0.24538083,0
21,0.26781524,0
22,0.25287178,0
23,0.24100857,0
24,0.24343013,0
25,0.22653406,0
26,0.24268866,0
27,0.23946163,0
28,0.23892431,0
29,0.2393159,0
30,0.22568182,0
31,0.23099593,0
32,0.22480637,0
33,0.23166422,0
34,0.23423337,0
35,0.2184493,0
36,0.21922976,0
37,0.21036449,0
38,0.21346948,0
39,0.22004304,0
40,0.21297744,0
41,0.21781225,0
42,0.20781291,0
43,0.20462297,0
44,0.2043473,0
45,0.21191752,0
46,0.22170379,0
47,0.21216102,0
48,0.20986131,0
49,0.21598114,0
50,0.21059505,0
51,0.1897924,0
52,0.16338147,0
53,0.15780889,0
54,0.16014971,0
55,0.19247645,0
56,0.22299365,0
57,0.25356676,0
58,0.25813538,0
59,0.24293097,0
60,0.24863135,0
61,0.23226557,0
62,0.23258233,0
63,0.24504178,0
64,0.23300636,0
65,0.21801304,0
66,0.20381055,0
67,0.2159598,0
68,0.22360601,0
69,0.21582709,0
70,0.22244167,0
71,0.21119486,0
72,0.22004514,0
73,0.21976391,0
74,0.21738551,0
75,0.23446454,0
76,0.23506516,0
77,0.24056795,0
78,0.237146,0
79,0.2291126,0
80,0.23213823,0
81,0.2279783,0
82,0.23584693,0
83,0.24108206,0
84,0.24316872,0
85,0.22666548,0
86,0.19387186,0
87,0.16695848,0
88,0.16200235,0
89,0.18900669,0
90,0.22148627,0
91,0.25379087,0
92,0.26338069,0
93,0.25750502,0
94,0.2658672,0
95,0.25191495,0
96,0.25573086,0
97,0.25370591,0
98,0.24232355,0
99,0.2403379,0
100,0.22170427,0
101,0.22769321,0
102,0.23023673,0
103,0.22416459,0
104,0.2344438,0
105,0.22803439,0
106,0.23555683,0
107,0.23685551,0
108,0.23420858,0
109,0.24288598,0
110,0.23428737,0
111,0.23330729,0
112,0.23368524,0
113,0.23033857,0
114,0.23066733,0
115,0.22264011,0
116,0.23135898,0
117,0.23582934,0
118,0.23937676,0
119,0.23047618,0
120,0.2081128,0
121,0.17860243,0
122,0.17095367,0
123,0.17850087,0
124,0.21466541,0
125,0.23825898,0
126,0.26740037,0
127,0.26315637,0
128,0.25819345,0
129,0.25498456,0
130,0.2408162,0
131,0.24738661,0
132,0.24951998,0
133,0.24120629,0
134,0.22010499,0
135,0.21321723,0
136,0.22534104,0
137,0.23115221,0
138,0.22868526,0
139,0.22356993,0
140,0.22477687,0
141,0.22992081,0
142,0.23166671,0
143,0.23138336,0
144,0.23033365,0
145,0.2300353,0
146,0.22611959,0
147,0.22150471,0
148,0.2170179,0
149,0.2234744,0
150,0.23076756,0
151,0.2244108,0
152,0.20165054,0
153,0.17288542,0
154,0.16290983,0
155,0.1624846,0
156,0.1973118,0
157,0.23951265,0
158,0.26730535,0
159,0.2623529,0
160,0.25517531,0
161,0.25328499,0
162,0.25082423,0
163,0.25820042,0
164,0.24317976,0
165,0.23467897,0
166,0.22564956,0
167,0.21573016,0
168,0.22689758,0
169,0.22553563,0
170,0.24041617,0
171,0.23938314,0
172,0.23128246,0
173,0.23238574,0
174,0.2302966,0
175,0.23840501,0
176,0.23631657,0
177,0.2325384,0
178,0.23204252,0
179,0.21817594,0
180,0.22544625,0
181,0.22400923,0
182,0.22790902,0
183,0.22241302,0
184,0.22392133,0
185,0.23093718,0
186,0.21963412,0
187,0.19900671,0
188,0.16902982,0
189,0.1636428,0
190,0.17825876,0
191,0.21992591,0
192,0.25164575,0
193,0.26346192,0
194,0.25277597,0
195,0.24058474,0
196,0.22186233,0
197,0.23293942,0
198,0.24286612,0
199,0.2424992,0
200,0.24150081,0
201,0.23398111,0
202,0.23020016,0
203,0.22886662,0
204,0.22596964,0
205,0.23009387,0
206,0.22844645,0
207,0.23624084,0
208,0.2346522,0
209,0.23394241,0
210,0.234085,0
211,0.22488807,0
212,0.22649743,0
213,0.22859672,0
214,0.22998206,0
215,0.2312265,0
216,0.2311773,0
217,0.23779719,0
218,0.23663342,0
219,0.23936526,0
220,0.23874562,0
221,0.22499294,0
222,0.19956728,0
223,0.17869513,0
224,0.17485209,0
225,0.18942639,0
226,0.23882605,0
227,0.27581382,0
228,0.28848612,0
229,0.268254,0
230,0.23951404,0
231,0.230632,0
232,0.22941063,0
233,0.25624596,0
234,0.25585088,0
235,0.258375,0
236,0.24672504,0
237,0.23540887,0
238,0.24572049,0
239,0.24174473,0
240,0.24789963,0
241,0.24894197,0
242,0.2432716,0
243,0.24577616,0
244,0.23458228,0
245,0.23859752,0
246,0.23616767,0
247,0.23589624,0
248,0.23925861,0
249,0.23194521,0
250,0.23468251,0
251,0.23204373,0
252,0.23450991,0
253,0.23433281,0
254,0.23227451,0
255,0.23635205,0
256,0.22637115,0
257,0.20089728,0
258,0.17311721,0
259,0.17303502,0
260,0.17702016,0
261,0.21180326,0
262,0.26071076,0
263,0.29407852,0
264,0.29490096,0
265,0.27810311,0
266,0.27037736,0
267,0.25215465,0
268,0.24377516,0
269,0.24976171,0
270,0.24319735,0
271,0.2440772,0
272,0.2363752,0
273,0.23080801,0
274,0.22602539,0
275,0.21921217,0
276,0.23283242,0
277,0.23104907,0
278,0.2323309,0
279,0.23570271,0
280,0.22467655,0
