timestamp,value,is_anomaly
1,-0.1504334,0
13,0.09857574,0
25,-0.36562,0
37,0.3243454,0
49,0.1812613,0
61,0.01524427,0
73,-0.1092549,0
85,-0.1735711,0
97,0.06040187,0
109,0.1689771,0
121,0.1985492,0
133,0.2340355,0
145,-0.1745325,0
157,0.01411818,0
169,0.01148261,0
181,0.1363381,0
193,0.01858854,0
205,-0.09176703,0
217,0.5702719,0
229,0.5159322,0
241,-0.3711247,0
253,-0.1509965,0
265,0.269376,0
277,0.0284867,0
289,0.3442278,0
301,0.3065627,0
313,-0.1435743,0
325,0.06562242,0
337,0.004623772,0
349,0.06664921,0
361,0.1409289,0
373,-0.2206676,0
385,0.08655885,0
397,0.02610582,0
409,0.06479978,0
421,-0.02577,0
433,0.5356096,0
445,0.2455822,0
457,0.1152463,0
469,0.4018767,0
481,0.25072,0
493,0.01323956,0
505,0.2348353,0
517,-0.206885,0
529,0.04379844,0
541,0.08437634,0
553,0.09213711,0
565,0.2869295,0
577,0.07418267,0
589,0.3615915,0
601,0.05356351,0
613,-0.106961,0
625,0.05115861,0
637,-0.1045779,0
649,0.1746933,0
661,-0.07093901,0
673,-0.1242081,0
685,0.1419529,0
697,0.2359051,0
709,0.2787483,0
721,0.01622275,0
733,-0.1628351,0
745,-0.262577,0
757,0.08871997,0
769,-0.01771045,0
781,-0.08045039,0
793,0.315327,0
805,-0.1237287,0
817,-0.1305049,0
829,-0.02499547,0
841,0.3023168,0
853,0.1790632,0
865,-0.007985785,0
877,0.3423892,0
889,-0.1017094,0
901,-0.2256884,0
913,0.1734701,0
925,0.279635,0
937,-0.002071216,0
949,-0.01569958,0
961,0.00548917,0
973,0.4536217,0
985,0.1549381,0
997,0.5578239,0
1009,-0.02977036,0
1021,-0.001853323,0
1033,0.05069366,0
1045,-0.1249186,0
1057,0.4578817,0
1069,-0.1185373,0
1081,0.1201858,0
1093,0.2632124,0
1105,0.436777,0
1117,0.2875876,0
1129,0.157619,0
1141,-0.04851991,0
1153,-0.1690261,0
1165,0.7092501,0
1177,-0.1245416,0
1189,0.2030656,0
1201,0.1274015,0
1213,-0.1452862,0
1225,0.001284092,0
1237,0.2115418,0
1249,-0.1285921,0
1261,0.3926174,0
1273,0.3410811,0
1285,0.1650239,0
1297,0.2381659,0
1309,-0.08553362,0
1321,0.08513288,0
1333,0.1569434,0
1345,-0.1707243,0
1357,-0.1082458,0
1369,0.1413359,0
1381,-0.0411273,0
1393,-0.0934175,0
1405,-0.2467087,0
1417,0.4367827,0
1429,0.2857428,0
1441,-0.1752073,0
1453,0.07108346,0
1465,-0.2633044,0
1477,0.209816,0
1489,-0.2073768,0
1501,0.4442595,0
