timestamp,value,is_anomaly
0,-1.0,0
1,-1.0,0
2,-1.0,0
3,-1.0,0
4,-1.0,0
5,-1.0,0
6,-1.0,0
7,-1.0,0
8,-2.0,0
9,-2.0,0
10,-3.0,0
11,-3.0,0
12,-3.0,0
13,-3.0,0
14,-2.0,0
15,-2.0,0
16,-2.0,0
17,-2.0,0
18,-2.0,0
19,-3.0,0
20,-4.0,0
21,-4.0,0
22,-4.0,0
23,-4.0,0
24,-3.0,0
25,-3.0,0
26,-3.0,0
27,-4.0,0
28,-3.0,0
29,-2.0,0
30,-2.0,0
31,-3.0,0
32,-3.0,0
33,-2.0,0
34,-3.0,0
35,-4.0,0
36,-3.0,0
37,-2.0,0
38,-2.0,0
39,-2.0,0
40,-2.0,0
41,-2.0,0
42,-3.0,0
43,-4.0,0
44,-4.0,0
45,-3.0,0
46,-3.0,0
47,-2.0,0
48,-2.0,0
49,-2.0,0
50,-3.0,0
51,-3.0,0
52,-2.0,0
53,-2.0,0
54,-2.0,0
55,-2.0,0
56,-3.0,0
57,-4.0,0
58,-4.0,0
59,-3.0,0
60,-1.0,0
61,-1.0,0
62,-1.0,0
63,-2.0,0
64,-2.0,0
65,-3.0,0
66,-3.0,0
67,-4.0,0
68,-4.0,0
69,-2.0,0
70,0.0,0
71,1.0,0
72,4.0,0
73,6.0,0
74,7.0,0
75,8.0,0
76,8.0,0
77,7.0,0
78,7.0,0
79,10.0,0
80,13.0,0
81,22.0,0
82,30.0,0
83,28.0,0
84,25.0,0
85,24.0,0
86,23.0,0
87,21.0,0
88,19.0,0
89,20.0,0
90,21.0,0
91,14.0,0
92,9.0,0
93,6.0,0
94,3.0,0
95,0.0,0
96,-3.0,0
97,-4.0,0
98,-6.0,0
99,-7.0,0
100,-7.0,0
101,-6.0,0
102,-6.0,0
103,-6.0,0
104,-6.0,0
105,-4.0,0
106,-9.0,0
107,-18.0,0
108,-31.0,0
109,-45.0,0
110,-41.0,0
111,-26.0,0
112,26.0,0
113,99.0,0
114,152.0,0
115,197.0,0
116,189.0,0
117,165.0,0
118,143.0,0
119,122.0,0
120,120.0,0
121,121.0,0
122,107.0,0
123,91.0,0
124,62.0,0
125,32.0,0
126,15.0,0
127,-1.0,0
128,-7.0,0
129,-13.0,0
130,-16.0,0
131,-20.0,0
132,-22.0,0
133,-25.0,0
134,-27.0,0
135,-29.0,0
136,-29.0,0
137,-29.0,0
138,-31.0,0
139,-32.0,0
140,-32.0,0
141,-32.0,0
142,-34.0,0
143,-36.0,0
144,-36.0,0
145,-37.0,0
146,-37.0,0
147,-37.0,0
148,-37.0,0
149,-39.0,0
150,-42.0,0
151,-42.0,0
152,-40.0,0
153,-40.0,0
154,-41.0,0
155,-41.0,0
156,-41.0,0
157,-42.0,0
158,-43.0,0
159,-43.0,0
160,-43.0,0
161,-43.0,0
162,-43.0,0
163,-42.0,0
164,-42.0,0
165,-42.0,0
166,-42.0,0
167,-42.0,0
168,-41.0,0
169,-41.0,0
170,-40.0,0
171,-39.0,0
172,-38.0,0
173,-37.0,0
174,-36.0,0
175,-35.0,0
176,-33.0,0
177,-31.0,0
178,-29.0,0
179,-28.0,0
180,-27.0,0
181,-25.0,0
182,-24.0,0
183,-22.0,0
184,-20.0,0
185,-20.0,0
186,-17.0,0
187,-13.0,0
188,-10.0,0
189,-9.0,0
190,-7.0,0
191,-5.0,0
192,-3.0,0
193,0.0,0
194,0.0,0
195,1.0,0
196,1.0,0
197,0.0,0
198,1.0,0
199,4.0,0
200,3.0,0
201,2.0,0
202,2.0,0
203,2.0,0
204,1.0,0
205,0.0,0
206,0.0,0
207,0.0,0
208,-1.0,0
209,-4.0,0
210,-4.0,0
211,-4.0,0
212,-4.0,0
213,-4.0,0
214,-4.0,0
215,-5.0,0
216,-5.0,0
217,-6.0,0
218,-6.0,0
219,-6.0,0
220,-6.0,0
221,-6.0,0
222,-7.0,0
223,-8.0,0
224,-6.0,0
225,-6.0,0
226,-8.0,0
227,-8.0,0
228,-7.0,0
229,-7.0,0
230,-7.0,0
231,-8.0,0
232,-9.0,0
233,-10.0,0
234,-10.0,0
235,-9.0,0
236,-7.0,0
237,-7.0,0
238,-7.0,0
239,-8.0,0
240,-8.0,0
241,-8.0,0
242,-8.0,0
243,-8.0,0
244,-9.0,0
245,-9.0,0
246,-9.0,0
247,-8.0,0
248,-8.0,0
249,-8.0,0
250,-9.0,0
251,-9.0,0
252,-9.0,0
253,-9.0,0
254,-8.0,0
255,-8.0,0
256,-8.0,0
257,-9.0,0
258,-9.0,0
259,-8.0,0
260,-8.0,0
261,-9.0,0
262,-9.0,0
263,-8.0,0
264,-8.0,0
265,-8.0,0
266,-8.0,0
267,-8.0,0
268,-8.0,0
269,-8.0,0
270,-7.0,0
271,-6.0,0
272,-6.0,0
273,-6.0,0
274,-6.0,0
275,-6.0,0
276,-6.0,0
277,-6.0,0
278,-7.0,0
279,-7.0,0
280,-7.0,0
281,-7.0,0
282,-7.0,0
283,-7.0,0
284,-6.0,0
285,-4.0,0
286,-5.0,0
287,-6.0,0
288,-6.0,0
289,-5.0,0
290,-5.0,0
291,-5.0,0
292,-6.0,0
293,-6.0,0
294,-6.0,0
295,-6.0,0
296,-4.0,0
297,-2.0,0
298,-1.0,0
299,0.0,0
300,2.0,0
301,4.0,0
302,6.0,0
303,8.0,0
304,8.0,0
305,8.0,0
306,6.0,0
307,7.0,0
308,14.0,0
309,20.0,0
310,25.0,0
311,27.0,0
312,25.0,0
313,23.0,0
314,21.0,0
315,20.0,0
316,19.0,0
317,19.0,0
318,19.0,0
319,17.0,0
320,13.0,0
321,9.0,0
322,5.0,0
323,2.0,0
324,0.0,0
325,-2.0,0
326,-3.0,0
327,-4.0,0
328,-4.0,0
329,-5.0,0
330,-5.0,0
331,-4.0,0
332,-4.0,0
333,-2.0,0
334,-1.0,0
335,-9.0,0
336,-19.0,0
337,-39.0,0
338,-55.0,0
339,-38.0,0
340,-11.0,0
341,75.0,0
342,152.0,0
343,189.0,0
344,208.0,0
345,175.0,0
346,145.0,0
347,124.0,0
348,112.0,0
349,118.0,0
350,116.0,0
351,100.0,0
352,76.0,0
353,44.0,0
354,21.0,0
355,6.0,0
356,-2.0,0
357,-7.0,0
358,-10.0,0
359,-12.0,0
360,-14.0,0
361,-17.0,0
362,-19.0,0
363,-20.0,0
364,-22.0,0
365,-23.0,0
366,-24.0,0
367,-24.0,0
368,-25.0,0
369,-26.0,0
370,-26.0,0
371,-26.0,0
372,-27.0,0
373,-29.0,0
374,-29.0,0
375,-29.0,0
376,-30.0,0
377,-32.0,0
378,-32.0,0
379,-32.0,0
